2010,0
2098,0
2160,0
2162,0
2170,0
2058,0
2022,0
2082,0
2128,0
2176,0
2138,0
2034,0
2018,0
2048,0
2122,0
2170,0
2150,0
2014,0
2006,0
2064,0
2146,0
2174,0
2146,0
2058,0
2010,0
2074,0
2144,0
2192,0
2155,0
2096,0
2018,0
2050,0
2096,0
2163,0
2150,0
2090,0
1994,0
2028,0
2120,0
2152,0
2140,0
2086,0
2026,0
2054,0
2120,0
2194,0
2176,0
2129,0
2050,0
2082,0
2136,0
2176,66
2178,61
2134,27
2048,-35
2032,-39
2104,9
2150,20
2179,38
2106,-5
1995,-68
2002,-45
2040,-45
2098,-38
2106,-45
2064,-48
1942,-109
1942,-87
2000,-73
2048,-86
2064,-87
2042,-67
1921,-120
1904,-107
1994,-61
2072,-56
2088,-64
2082,-25
2009,-24
1961,-39
2008,-27
2072,-35
2132,-13
2144,26
2064,18
2006,8
2042,22
2128,33
2190,41
2146,20
2096,44
2022,24
2081,61
2122,29
2200,53
2152,22
2091,35
2026,27
2058,43
2122,35
2158,16
2194,62
2138,69
2046,41
2038,34
2088,22
2147,16
2182,42
2134,48
2011,0
2024,30
2064,12
2140,13
2146,0
2096,3
2014,-4
2003,5
2067,15
2144,14
2142,-10
2130,25
2024,-7
2030,22
2074,15
2136,2
2155,-5
2138,17
2022,-24
1962,-48
2025,-25
2086,-44
2130,-40
2086,-47
1988,-64
1938,-68
1978,-62
2042,-78
2090,-76
2050,-81
1932,-113
1922,-73
1950,-77
2054,-54
2094,-64
2104,-23
2040,-6
1978,-12
2064,48
2146,46
2227,71
2290,148
2264,191
2256,239
2322,289
2426,317
2500,328
2536,367
2448,341
2312,272
2232,197
2184,88
2139,-22
2027,-140
1872,-234
1682,-351
1618,-399
1683,-396
1766,-390
1810,-359
1800,-304
1768,-253
1824,-172
1928,-124
2068,-62
2186,29
2208,100
2170,142
2182,188
2242,201
2312,192
2312,157
2218,107
2115,81
2038,38
2091,40
2120,-11
2163,-7
2094,-35
2018,-33
1978,-36
2059,0
2130,-12
2154,-26
2126,-15
2058,-6
2032,4
2040,-22
2123,-14
2158,-21
2154,1
2058,-18
1990,-32
1994,-45
2097,-14
2122,-39
2128,-8
2026,-27
1971,-14
1984,-7
2064,2
2136,15
2112,5
2030,3
1970,7
2018,39
2066,4
2160,27
2154,18
2104,33
2016,8
2010,-1
2080,-6
2146,-17
2184,8
2160,41
2042,1
2040,20
2096,18
2150,0
2200,27
2142,24
2030,-1
2018,18
2062,11
2160,25
2164,-2
2106,-7
2058,25
2026,22
2080,29
2128,0
2166,6
2088,-27
2027,-11
1979,-26
2026,-19
2098,-24
2138,-21
2130,6
2051,2
1995,-8
2021,-10
2082,-24
2136,-17
2128,-4
2082,17
2010,-1
2058,28
2098,0
2150,0
2134,-4
2034,-35
2002,-13
2035,2
2094,-7
2154,0
2128,-13
2058,-15
2026,6
2022,-9
2067,-25
2154,4
2148,1
2088,2
1978,-41
2026,8
2060,-20
2122,-21
2146,-1
2086,-3
2018,-2
2010,0
2098,27
2128,-9
2144,-1
2096,5
2022,-1
2024,12
2098,30
2136,3
2136,-5
2082,-5
2006,-15
1978,-29
2014,-42
2090,-33
2128,-18
2124,18
2016,-18
1990,-10
2054,12
2128,10
2160,7
2146,30
2075,31
2018,14
2050,16
2146,35
2186,29
2160,32
2036,-11
2018,20
2072,39
2150,34
2178,15
2136,6
2082,30
2016,12
2008,-19
2102,-1
2176,13
2154,8
2067,1
2008,4
2040,19
2088,-9
2155,-3
2162,11
2104,22
2020,5
2036,18
2099,10
2162,6
2170,13
2082,-6
2000,-16
2022,8
2082,0
2166,9
2168,5
2138,38
