Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,AD8232,LFCSP_20,147.32,-92.705,0,top
J1,Conn_01x10_Male,PinHeader_1x10_P2.54mm_Vertical,-139.7,-81.28,180,bottom
J2,Conn_01x10_Male,PinHeader_1x10_P2.54mm_Vertical,-155,-104.13,0,bottom
