Comment,Designator,Footprint,JLCPCB Part #(optional)
Conn_01x10_Male,"J1, J2",Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
AD8232,U1,AD8232:LFCSP_20,C43216
